Spec_ID,Car_ID,Engine,Max Power,Max Torque,Drivetrain
332,332,1197 cc,103 bhp @ 5000 rpm,175 Nm @ 1500 rpm,FWD
333,333,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD
334,334,1498 cc,105 bhp @ 5600 rpm,142 Nm @ 4000 rpm,FWD
335,335,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD
336,336,1498 cc,89 bhp @ 3750 rpm,204 Nm @ 2000 rpm,FWD
337,337,2179 cc,140 bhp @ 3750 rpm,330 Nm @ 2800 rpm,FWD
338,338,1998 cc,248 bhp @ 5200 rpm,350 Nm @ 1450 rpm,RWD
339,339,999 cc,124 bhp @ 6000 rpm,,FWD
340,340,2179 cc,138 bhp @ 4000 rpm,320 Nm @ 1700 rpm,RWD
341,341,1353 cc,138 bhp @ 6000 rpm,242 Nm @ 1500 rpm,FWD
342,342,2967 cc,241 bhp @ 3800 rpm,550 Nm @ 1750 rpm,AWD
343,343,2993 cc,262 bhp @ 4000 rpm,620 Nm @ 1500 rpm,AWD
344,344,1498 cc,89 bhp @ 3750 rpm,204 Nm @ 2000 rpm,FWD
345,345,1197 cc,82 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD
346,346,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD
347,347,1798 cc,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,FWD
348,348,1797 cc,147 bhp @ 6500 rpm,177 Nm @ 4700 rpm,FWD
349,349,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD
350,350,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
351,351,2179 cc,138 bhp @ 3750 rpm,330 Nm @ 1600 rpm,FWD
352,352,1997 cc,150 bhp @ 5000 rpm,300 Nm @ 1250 rpm,AWD
353,353,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
354,354,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD
355,355,2982 cc,169 bhp @ 3600 rpm,360 Nm @ 1400 rpm,RWD
356,356,1995 cc,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD
357,357,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD
358,358,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD
359,359,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD
360,360,1298 cc,87@6000,113@4500,FWD
361,361,1368 cc,90@6000,115@4500,FWD
362,362,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD
363,363,1498 cc,119 bhp @ 6600 rpm,145 Nm @ 4300 rpm,FWD
364,364,1999 cc,153 bhp @ 6200 rpm,192 Nm @ 4000 rpm,FWD
365,365,2694 cc,164 bhp @ 5200 rpm,245 Nm @ 4000 rpm,RWD
366,366,1984 cc,208 bhp @ 4300 rpm,350 Nm @ 1600 rpm,AWD
367,367,1199 cc,84 bhp @ 6000 rpm,114 Nm @ 3500 rpm,FWD
368,368,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
369,369,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD
370,370,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD
371,371,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD
372,372,1991 cc,241 bhp @ 5500 rpm,370 Nm @ 1300 rpm,RWD
373,373,1199 cc,118 bhp @ 5500 rpm,170 Nm @ 1750 rpm,FWD
374,374,1498 cc,99 bhp @ 3750 rpm,205 Nm @ 1750 rpm,FWD
375,375,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD
376,376,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD
377,377,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD
378,378,1956 cc,171 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD
379,379,1497 cc,181 bhp @ 5800 rpm,280 Nm @ 1600 rpm,RWD
380,380,1197 cc,68 bhp @ 6000 rpm,95 Nm @ 4000 rpm,FWD
381,381,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD
382,382,1497 cc,118@6600,146@4600,FWD
383,383,1186 cc,74 bhp @ 4000 rpm,190 Nm @ 1750 rpm,FWD
384,384,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD
385,385,1995 cc,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD
386,386,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD
387,387,2179 cc,140 bhp @ 3750 rpm,320 Nm @ 1500 rpm,AWD
388,388,1498 cc,108 bhp @ 6000 rpm,144 Nm @ 4400 rpm,FWD
389,389,2179 cc,120@4000,250@1500,FWD
390,390,1998 cc,136@5600,182@4000,FWD
391,391,1364 cc,67 bhp @ 3800 rpm,170 Nm @ 1800 rpm,FWD
392,392,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD
393,393,2179 cc,120 bhp @ 4000 rpm,280 Nm @ 1800 rpm,RWD
394,394,1798 cc,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,FWD
395,395,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD
396,396,2997 cc,254 bhp @ 3600 rpm,619 Nm @ 1600 rpm,AWD
397,397,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD
398,398,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD
399,399,2184 cc,130 bhp @ 3750 rpm,300 Nm @ 1600 rpm,AWD
400,400,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD
401,401,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD
402,402,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
403,403,1984 cc,150 bhp @ 3500 rpm,350 Nm @ 1500 rpm,FWD
404,404,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD
405,405,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD
406,406,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD
407,407,1061 cc,67@6200,84@3500,FWD
408,408,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
409,409,999 cc,99 bhp @ 5000 rpm,152 Nm @ 2200 rpm,FWD
410,410,999 cc,124 bhp @ 6000 rpm,,FWD
411,411,999 cc,124 bhp @ 6000 rpm,,FWD
412,412,998 cc,68 bhp @ 6200 rpm,94 Nm @ 3500 rpm,FWD
413,413,796 cc,47@6200,62@3000,FWD
414,414,3498 cc,272 bhp @ 6300 rpm,345 Nm @ 4500 rpm,RWD
415,415,998 cc,58 bhp @ 5500 rpm,78 Nm @ 3500 rpm,FWD
416,416,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD
417,417,1493 cc,114 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD
418,418,1497 cc,113 bhp @ 6300 rpm,144 Nm @ 4500 rpm,FWD
419,419,1598 cc,105 bhp @ 4400 rpm,250 Nm @ 2500 rpm,FWD
420,420,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
421,421,1497 cc,118 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD
422,422,1198 cc,108 bhp @ 5000 rpm,170 Nm @ 1750 rpm,FWD
423,423,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
424,424,2987 cc,255 bhp @ 3400 rpm,620 Nm @ 1600 rpm,AWD
425,425,4163 cc,444 bhp @ 8250 rpm,430 Nm @ 4000 rpm,AWD
426,426,999 cc,124 bhp @ 6000 rpm,,FWD
427,427,2143 cc,168 bhp @ 3000 rpm,400 Nm @ 1400 rpm,AWD
428,428,1968 cc,174 bhp @ 3600 rpm,350 Nm @ 1500 rpm,FWD
429,429,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD
430,430,1196 cc,70 bhp @ 6250 rpm,102 Nm @ 4000 rpm,FWD
431,431,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD
432,432,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD
433,433,1186 cc,74 bhp @ 4000 rpm,190 Nm @ 1750 rpm,FWD
434,434,2497 cc,204@6100,245@5000,RWD
435,435,1498 cc,105 bhp @ 5600 rpm,142 Nm @ 4000 rpm,FWD
436,436,1998 cc,248 bhp @ 5200 rpm,350 Nm @ 1450 rpm,RWD
437,437,2179 cc,120 bhp @ 4000 rpm,280 Nm @ 1800 rpm,RWD
438,438,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD
439,439,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD
440,440,1248 cc,75@4000,190@2000,FWD
441,441,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD
442,442,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD
443,443,3982 cc,463 bhp @ 5250 rpm,700 Nm @ 2000 rpm,RWD
444,444,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD
445,445,1997 cc,138 bhp @ 3750 rpm,320 Nm @ 1600 rpm,FWD
446,446,2143 cc,136 bhp @ 3200 rpm,300 Nm @ 1400 rpm,FWD
447,447,1120 cc,71 bhp @ 4000 rpm,160 Nm @ 1500 rpm,FWD
448,448,998 cc,59@6200,77@3500,FWD
449,449,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD
450,450,999 cc,124 bhp @ 6000 rpm,,FWD
451,451,2179 cc,154 bhp @ 4000 rpm,400 Nm @ 1700 rpm,RWD
452,452,1498 cc,99 bhp @ 3750 rpm,205 Nm @ 1750 rpm,FWD
453,453,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD
454,454,2143 cc,134 bhp @ 3600 rpm,300 Nm @ 1600 rpm,FWD
455,455,2393 cc,148 bhp @ 3400 rpm,360 Nm @ 1400 rpm,RWD
456,456,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
457,457,1995 cc,112 bhp @,270 Nm @ 1750 rpm,FWD
458,458,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD
459,459,2523 cc,75 bhp @ 3200 rpm,200 Nm @ 1400 rpm,RWD
460,460,1368 cc,90@6000,116@4750,FWD
461,461,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD
462,462,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD
463,463,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD
464,464,1498 cc,99 bhp @ 3750 rpm,215 Nm @ 1750 rpm,FWD
465,465,1988 cc,295 bhp @ 6500 rpm,380 Nm @ 1950 rpm,RWD
466,466,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
467,467,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD
468,468,998 cc,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD
469,469,1591 cc,121 bhp @ 6300 rpm,155 Nm @ 4200 rpm,FWD
470,470,998 cc,68 bhp @ 6200 rpm,94 Nm @ 3500 rpm,FWD
471,471,1995 cc,120@5500,170@3500,AWD
472,472,1197 cc,79 bhp @ 6000 rpm,112 Nm @ 4000 rpm,FWD
473,473,1950 cc,241 bhp @ 4200 rpm,500 Nm @ 1600 rpm,AWD
474,474,1493 cc,100 bhp @ 3750 rpm,240 Nm @ 1600 rpm,RWD
475,475,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD
476,476,1995 cc,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,RWD
477,477,1995 cc,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,RWD
478,478,999 cc,124 bhp @ 6000 rpm,,FWD
479,479,1968 cc,177 bhp @ 3750 rpm,380 Nm @ 1750 rpm,FWD
480,480,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,AWD
481,481,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD
482,482,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD
483,483,1498 cc,119 bhp @ 6600 rpm,145 Nm @ 4300 rpm,FWD
484,484,3902 cc,660 bhp @ 8000 rpm,760 Nm @ 3000 rpm,RWD
485,485,1968 cc,141 bhp @ 4000 rpm,340 Nm @ 1750 rpm,AWD
486,486,2179 cc,190 bhp @ 3500 rpm,420 Nm @ 1750 rpm,AWD
487,487,998 cc,59@6200,77@3500,FWD
488,488,999 cc,124 bhp @ 6000 rpm,,FWD
489,489,999 cc,124 bhp @ 6000 rpm,,FWD
490,490,2996 cc,362 bhp @ 5500 rpm,520 Nm @ 2000 rpm,AWD
491,491,998 cc,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD
492,492,624 cc,35@5250,48@3000,RWD
493,493,999 cc,124 bhp @ 6000 rpm,,FWD
494,494,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD
495,495,1591 cc,122 bhp @ 6400 rpm,151 Nm @ 4850 rpm,FWD
496,496,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD
497,497,1798 cc,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,FWD
498,498,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD
499,499,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
500,500,2477 cc,176 bhp @ 4000 rpm,400 Nm @ 2000 rpm,AWD
501,501,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD
502,502,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD
503,503,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD
504,504,1197 cc,103 bhp @ 5000 rpm,175 Nm @ 1500 rpm,FWD
505,505,3198 cc,197 bhp @ 3000 rpm,470 Nm @ 1750 rpm,AWD
506,506,1047 cc,69 bhp @ 4000 rpm,140 Nm @ 1800 rpm,FWD
507,507,1198 cc,67 bhp @ 5000 rpm,104 Nm @ 4000 rpm,FWD
508,508,1497 cc,114 bhp @ 6300 rpm,144 Nm @ 4500 rpm,FWD
509,509,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD
510,510,999 cc,124 bhp @ 6000 rpm,,FWD
511,511,5204 cc,602 bhp @ 8250 rpm,560 Nm @ 6500 rpm,AWD
512,512,2143 cc,134 bhp @ 3600 rpm,300 Nm @ 1600 rpm,FWD
513,513,2143 cc,134 bhp @ 3600 rpm,300 Nm @ 1600 rpm,FWD
514,514,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD
515,515,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4200 rpm,FWD
516,516,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD
517,517,998 cc,59@6200,77@3500,FWD
518,518,814 cc,55 bhp @ 5500 rpm,75 Nm @ 4000 rpm,FWD
519,519,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD
520,520,796 cc,47@6200,62@3000,FWD
521,521,1950 cc,241 bhp @ 4200 rpm,500 Nm @ 1600 rpm,AWD
522,522,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD
523,523,1197 cc,80@5200,111@4000,FWD
524,524,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD
525,525,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
526,526,2993 cc,262 bhp @ 4000 rpm,620 Nm @ 2000 rpm,RWD
527,527,1353 cc,138 bhp @ 6000 rpm,242 Nm @ 1500 rpm,FWD
528,528,2179 cc,153 bhp @ 3750 rpm,360 Nm @ 1750 rpm,FWD
529,529,2953 cc,154 bhp @ 3200 rpm,380 Nm @ 2500 rpm,AWD
530,530,1995 cc,182 bhp @ 4000 rpm,400 Nm @ 1750 rpm,FWD
531,531,1496 cc,80 bhp @ 5600 rpm,132 Nm @ 3000 rpm,FWD
532,532,1598 cc,103 bhp @ 5250 rpm,153 Nm @ 3800 rpm,FWD
533,533,1248 cc,75@4000,190@2000,FWD
534,534,2982 cc,169 bhp @ 3600 rpm,343 Nm @ 1400 rpm,RWD
535,535,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD
536,536,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD
537,537,1598 cc,118 bhp @ 3750 rpm,320 Nm @ 1750 rpm,FWD
538,538,999 cc,75 bhp @ 6200 rpm,95 Nm @ 3000 rpm,FWD
539,539,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD
540,540,1968 cc,188 bhp @ 4200 rpm,400 Nm @ 1750 rpm,FWD
541,541,1499 cc,109 bhp @ 6300 rpm,140 Nm @ 4400 rpm,FWD
542,542,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD
543,543,2925 cc,326 bhp @ 3600 rpm,700 Nm @ 1200 rpm,AWD
544,544,1956 cc,168 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD
545,545,1995 cc,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD
546,546,1995 cc,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,RWD
547,547,1995 cc,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,RWD
548,548,1497 cc,116 bhp @ 6600 rpm,146 Nm @ 4800 rpm,FWD
549,549,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD
550,550,2987 cc,258 bhp @ 3600 rpm,619 Nm @ 1600 rpm,AWD
551,551,1497 cc,108 bhp @ 3750 rpm,260 Nm @ 1500 rpm,FWD
552,552,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD
553,553,2179 cc,122@4000,290@1800,AWD
554,554,1996 cc,215 bhp @ 4000 rpm,480 Nm @ 1500 rpm,AWD
555,555,1298 cc,87@6000,113@4500,FWD
556,556,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD
557,557,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD
558,558,999 cc,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD
559,559,1995 cc,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD
560,560,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD
561,561,796 cc,47@6200,62@3000,FWD
562,562,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD
563,563,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD
564,564,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD
565,565,1197 cc,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,FWD
566,566,2179 cc,120@4000,250@1500,FWD
567,567,1493 cc,84 bhp @ 3750 rpm,230 Nm @ 1500 rpm,RWD
568,568,2494 cc,100 bhp @ 3600 rpm,200 Nm @ 1400 rpm,RWD
569,569,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD
570,570,2179 cc,138 bhp @ 3750 rpm,330 Nm @ 1600 rpm,FWD
571,571,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD
572,572,999 cc,124 bhp @ 6000 rpm,,FWD
573,573,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD
574,574,1998 cc,248 bhp @ 5200 rpm,350 Nm @ 1450 rpm,RWD
575,575,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD
576,576,5461 cc,368 bhp @ 6300 rpm,505 Nm @ 4400 rpm,RWD
577,577,1798 cc,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,FWD
578,578,1991 cc,194 bhp @ 5800 rpm,300 Nm @ 1600 rpm,RWD
579,579,1197 cc,103 bhp @ 5000 rpm,175 Nm @ 1500 rpm,FWD
580,580,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD
581,581,1086 cc,68 bhp @ 5500 rpm,99 Nm @ 4500 rpm,FWD
582,582,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD
583,583,2993 cc,244 bhp @ 4000 rpm,600 Nm @ 2000 rpm,AWD
584,584,1496 cc,114 bhp @ 4000 rpm,270 Nm @ 1750 rpm,FWD
585,585,3198 cc,197 bhp @ 3000 rpm,470 Nm @ 1750 rpm,AWD
586,586,1461 cc,108 bhp @ 3900 rpm,248 Nm @ 2250 rpm,FWD
587,587,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD
588,588,1598 cc,105 bhp @ 4400 rpm,250 Nm @ 2500 rpm,FWD
589,589,1498 cc,89 bhp @ 3750 rpm,204 Nm @ 2000 rpm,FWD
590,590,1497 cc,113 bhp @ 6300 rpm,144 Nm @ 4500 rpm,FWD
591,591,1196 cc,73 bhp @ 6000 rpm,101 Nm @ 3000 rpm,RWD
592,592,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD
593,593,1498 cc,99 bhp @ 3750 rpm,205 Nm @ 1750 rpm,FWD
594,594,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD
595,595,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD
596,596,1991 cc,194 bhp @ 5800 rpm,300 Nm @ 1600 rpm,RWD
597,597,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD
598,598,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD
599,599,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
600,600,1461 cc,108 bhp @ 4000 rpm,240 Nm @ 1850 rpm,FWD
601,601,1968 cc,188 bhp @ 4200 rpm,400 Nm @ 1750 rpm,FWD
602,602,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD
603,603,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
604,604,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD
605,605,999 cc,124 bhp @ 6000 rpm,,FWD
606,606,1968 cc,141 bhp @ 3500 rpm,320 Nm @ 1750 rpm,FWD
607,607,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD
608,608,1197 cc,82 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD
609,609,2755 cc,174 bhp @ 3400 rpm,420 Nm @ 1600 rpm,RWD
610,610,1395 cc,148 bhp @ 5000 rpm,250 Nm @ 1500 rpm,FWD
611,611,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD
612,612,1991 cc,194 bhp @ 5500 rpm,320 Nm @ 1650 rpm,RWD
613,613,999 cc,124 bhp @ 6000 rpm,,FWD
614,614,2143 cc,201 bhp @ 3800 rpm,500 Nm @ 1600 rpm,AWD
615,615,2987 cc,258 bhp @ 3600 rpm,619 Nm @ 1600 rpm,AWD
616,616,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD
617,617,2184 cc,130 bhp @ 3750 rpm,300 Nm @ 1600 rpm,AWD
618,618,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD
619,619,814 cc,56@5500,75@4000,FWD
620,620,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
621,621,1493 cc,114 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD
622,622,998 cc,58 bhp @ 5500 rpm,78 Nm @ 3500 rpm,FWD
623,623,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD
624,624,2184 cc,182 bhp @ 3500 rpm,450 Nm @ 1750 rpm,FWD
625,625,998 cc,58 bhp @ 5500 rpm,78 Nm @ 3500 rpm,FWD
626,626,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD
627,627,1197 cc,87 bhp @ 6000 rpm,115 Nm @ 1500 rpm,FWD
628,628,1497 cc,118@6600,146@4600,FWD
629,629,2982 cc,171 @3600,343 @1400,FWD
630,630,1582 cc,128 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD
631,631,1995 cc,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD
632,632,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
633,633,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD
634,634,999 cc,124 bhp @ 6000 rpm,,FWD
635,635,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD
636,636,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,FWD
637,637,2987 cc,258 bhp @ 3600 rpm,619 Nm @ 1600 rpm,AWD
638,638,1353 cc,138 bhp @ 6000 rpm,242 Nm @ 1500 rpm,FWD
639,639,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD
640,640,999 cc,124 bhp @ 6000 rpm,,FWD
641,641,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
642,642,1798 cc,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,FWD
643,643,999 cc,124 bhp @ 6000 rpm,,FWD
644,644,2995 cc,335 bhp @ 5200 rpm,500 Nm @ 1370 rpm,AWD
645,645,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD
646,646,2179 cc,138 bhp @ 3750 rpm,330 Nm @ 1600 rpm,FWD
647,647,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD
648,648,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD
649,649,999 cc,124 bhp @ 6000 rpm,,FWD
650,650,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD
651,651,1998 cc,189 bhp @ 5000 rpm,280 Nm @ 1350 rpm,FWD
652,652,1797 cc,147 bhp @ 6500 rpm,177 Nm @ 4700 rpm,FWD
653,653,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD
654,654,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD
655,655,1198 cc,76 bhp @ 6000 rpm,104 Nm @ 4400 rpm,FWD
656,656,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD
657,657,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD
658,658,1984 cc,188 bhp @ 4200 rpm,320 Nm @ 1500 rpm,AWD
659,659,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD
660,660,2143 cc,134 bhp @ 3600 rpm,300 Nm @ 1600 rpm,FWD
661,661,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD
662,662,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD
663,663,998 cc,68 bhp @ 6200 rpm,94 Nm @ 3500 rpm,FWD
664,664,1497 cc,116 bhp @ 6600 rpm,146 Nm @ 4800 rpm,FWD
665,665,2143 cc,134 bhp @ 3600 rpm,300 Nm @ 1400 rpm,FWD
666,666,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD
